Doctor Name,Specialty,Department,Location
Dr Harikumar  G,Consultant Anesthesia,Anesthesiology,KIMSHEALTH Trivandrum
Dr. Hashir A,Consultant,Anesthesiology,KIMSHEALTH Trivandrum
Dr. Sherly  John,Consultant,Anesthesiology,KIMSHEALTH Trivandrum
Dr. Madhusudanan E S,Associate Consultant,Anesthesiology,KIMSHEALTH Trivandrum
Dr. Ashwin  Haridas,Associate Consultant,Anesthesiology,KIMSHEALTH Trivandrum
Dr. Anil Radhakrishnan Pillai,Consultant,Anesthesiology,KIMSHEALTH Trivandrum
Dr. Jayaprakash  Madhavan,Senior Consultant Radiation Oncologist,Cancer Care,KIMSHEALTH Trivandrum
Dr. Bharath  V M,Consultant–Oncosurgeon,Cancer Care,KIMSHEALTH Trivandrum
Dr. Amrita B Rao,"Associate Consultant, Plastic Micro …",Cancer Care,KIMSHEALTH Trivandrum
Dr. P G Jayaprakash,Hon. Sr. Consultant– Radiation …,Cancer Care,KIMSHEALTH Trivandrum
Dr. Shali S Nair,Registrar,Cancer Care,KIMSHEALTH Trivandrum
Dr. P P Abdul Shahid,Consultant-Medical Oncology,Cancer Care,KIMSHEALTH Trivandrum
Dr. E Grace Shirley,Consultant Radiation Oncologist,Cancer Care,KIMSHEALTH Trivandrum
Dr. Dhanasekaran V K,Consultant – Radiation Oncology,Cancer Care,KIMSHEALTH Trivandrum
Dr. Bijulal  S,Senior Consultant,Cardiology,KIMSHEALTH Trivandrum
Dr. Padmaja N P,Senior Consultant,Cardiology,KIMSHEALTH Trivandrum
Dr. Hashir  Kareem,Consultant,Cardiology,KIMSHEALTH Trivandrum
Prof. Dr. G Vijayaraghavan,"Vice-Chairman & Director-Medical Services, …",Cardiology,KIMSHEALTH Trivandrum
Dr. Ramesh Natarajan,Senior Consultant & Coordinator,Cardiology,KIMSHEALTH Trivandrum
Dr. Meera  R,Consultant,Cardiology,KIMSHEALTH Trivandrum
Dr. Praveen S V,Consultant,Cardiology,KIMSHEALTH Trivandrum
Dr. Ramakrishna Pillai V,"Director - Interventional Cardiology, …",Cardiology,KIMSHEALTH Trivandrum
Dr. Bhavana  Mohandas,Consultant,Cardiology,KIMSHEALTH Trivandrum
Dr. Dhinesh David,Consultant,Cardiology,KIMSHEALTH Trivandrum
Dr. Ajit Kumar VK,Senior Consultant,Cardiology,KIMSHEALTH Trivandrum
Dr. Vipin Balakrishnan Nair,Associate Consultant,Cardiothoracic Surgery,KIMSHEALTH Trivandrum
Dr. Swapna Sasidharan,Consultant Anesthesia,Cardiothoracic Surgery,KIMSHEALTH Trivandrum
Dr. S  Subash,Consultant Anesthesia,"Anesthesiology,
                                
                                     Cardiothoracic Surgery",KIMSHEALTH Trivandrum
Dr. Shaji  Palangadan,Senior Consultant and Co …,Cardiothoracic Surgery,KIMSHEALTH Trivandrum
Dr. Jacob John Theophilius,Senior Consultant and Chief …,"Anesthesiology,
                                
                                     Cardiothoracic Surgery",KIMSHEALTH Trivandrum
Dr. Zaynah  Zainuddin,Associate Consultant,Cardiothoracic Surgery,KIMSHEALTH Trivandrum
Dt. Jayasree  N S,Group Coordinator,Clinical Nutrition,KIMSHEALTH Trivandrum
Dr Leena  Saju,Group Manager,Clinical Nutrition,KIMSHEALTH Trivandrum
Dt. Vijilatha,Sr. Dietician,Clinical Nutrition,KIMSHEALTH Trivandrum
Dr. Rajesh  Sasikumaran,Consultant,Critical Care,KIMSHEALTH Trivandrum
Dr. Deepa Das,Senior Consultant,Critical Care,KIMSHEALTH Trivandrum
Dr. Deepak V,Clinical Director & Coordinator,Critical Care,KIMSHEALTH Trivandrum
Dr. Suvy  Manuel,Oral & Maxillofacial Surgeon,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. Fazeela  Beegum,Periodontist,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. Anirudhmaadhav P A,Pediatric Dentist,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. Ajilal  SK,Microscopic Endodontist,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. Dixit  Raj,Laser Periodontist and Implantologist,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. Biju  Sebastian,Senior Orthodontist,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. Surej Kumar L K,Senior Maxillofacial Surgeon,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. Arun  Sadasivan,Senior Periodontist,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. Augustine  Thomas,Prosthodontist,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. Abdul Shameer C K,Consultant Orthodontist,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. Roopa  Prasannan,Endodontist,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. Jithu  Joseph,Endodontist,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. Cucoo,Oral Physician,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. Sivadas  Arun,Periodontist,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. Aswin  S,Pediatric Dentist,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
